,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount,Date,Day 1 Total Amount,Day 2 Total Amount,Day 3 Total Amount,Day 4 Total Amount,Day 5 Total Amount,Day 6 Total Amount,Day 7 Total Amount,Day 8 Total Amount,Day 9 Total Amount,Day 10 Total Amount,Day 11 Total Amount,Day 12 Total Amount,Day 13 Total Amount,Day 14 Total Amount,Day 15 Total Amount,Day 16 Total Amount,Day 17 Total Amount,Day 18 Total Amount,Day 19 Total Amount,Day 20 Total Amount,Day 21 Total Amount,Day 22 Total Amount,Day 23 Total Amount,Day 24 Total Amount,Day 25 Total Amount,Day 26 Total Amount,Day 27 Total Amount,Day 28 Total Amount,Day 29 Total Amount,Day 30 Total Amount,Day 31 Total Amount,Day 32 Total Amount,Day 33 Total Amount,Day 34 Total Amount,Day 35 Total Amount,Day 36 Total Amount,Day 37 Total Amount,Day 38 Total Amount,Day 39 Total Amount,Day 40 Total Amount
192,2023-01-24,8698.8,MARUTI.NS,2023-01-31,8895.3,2023-03-16,8450.535,Stop Loss,32,8450.535,2,25000,-889.53,24110.47,2023-01-24,25000,24747.1,24949.7,25094,25025.4,24734.3,24878.8,24811.8,24832.1,24828.3,24758.3,24900.1,24819.6,24824.9,24596.7,24549.1,24527.3,24601.9,24530.4,24473.8,24458.1,24737.7,24306.9,24411.9,24472.3,24597.2,24293.3,24412.5,24246.2,24233.7,24159.3,24110.47,24110.47,24110.47,24110.47,24110.47,24110.47,24110.47,24110.47,24110.47
193,2023-04-03,8503.05,MARUTI.NS,2023-04-11,8659.55,2023-06-07,9707.5,40th Day,40,8226.5725,2,25000,2095.9,27095.9,2023-04-03,25000,24923,25022.5,25030.2,25146.2,25040.8,25110.2,24797.8,24613.2,24618.7,24694.7,24766.8,24860,25234.6,25275.5,25282.1,25578.2,25833.4,25904,26017.2,26202.7,26271.7,26095.5,25823.6,25919.7,25787.5,25892.8,25994.2,26082.3,26222.4,26244.6,26480.8,26347.9,26447.6,26416.3,26337.5,26651.6,26845.1,27153.3,27095.9
194,2023-04-11,8659.55,MARUTI.NS,2023-04-18,8732.65,2023-06-13,9517.5,40th Day,40,8296.0175,2,25000,1569.7,26569.7,2023-04-11,25000,24894.6,24964,24651.6,24467,24472.5,24548.5,24620.6,24713.8,25088.4,25129.3,25135.9,25432,25687.2,25757.8,25871,26056.5,26125.5,25949.3,25677.4,25773.5,25641.3,25746.6,25848,25936.1,26076.2,26098.4,26334.6,26201.7,26301.4,26270.1,26191.3,26505.4,26698.9,27007.1,26949.7,26851.9,26790.3,26635.6,26569.7
195,2023-05-02,8776.85,MARUTI.NS,2023-05-08,9076.25,2023-07-03,9673,40th Day,40,8622.4375,2,25000,1193.5,26193.5,2023-05-02,25000,25070.6,25183.8,25369.3,25438.3,25262.1,24990.2,25086.3,24954.1,25059.4,25160.8,25248.9,25389,25411.2,25647.4,25514.5,25614.2,25582.9,25504.1,25818.2,26011.7,26319.9,26262.5,26164.7,26103.1,25948.4,25882.5,25912.5,26037.2,26054.9,25911.5,25831.7,25729.2,25653.6,25502.1,25787.9,25769.5,25769.5,26425.6,26193.5
196,2023-05-09,9111.55,MARUTI.NS,2023-05-15,9207.3,2023-07-10,9736.3,40th Day,40,8746.935,2,25000,1058,26058,2023-05-09,25000,24728.1,24824.2,24692,24797.3,24898.7,24986.8,25126.9,25149.1,25385.3,25252.4,25352.1,25320.8,25242,25556.1,25749.6,26057.8,26000.4,25902.6,25841,25686.3,25620.4,25650.4,25775.1,25792.8,25649.4,25569.6,25467.1,25391.5,25240,25525.8,25507.4,25507.4,26163.5,25931.4,25880.2,26570,26304.2,26285.9,26058
197,2023-05-26,9399.95,MARUTI.NS,2023-06-01,9328.3,2023-07-27,9753.6,40th Day,40,8861.885,2,25000,850.6,25850.6,2023-05-26,25000,25314.1,25507.6,25815.8,25758.4,25660.6,25599,25444.3,25378.4,25408.4,25533.1,25550.8,25407.4,25327.6,25225.1,25149.5,24998,25283.8,25265.4,25265.4,25921.5,25689.4,25638.2,26328,26062.2,26043.9,25816,26143.7,26015,25638.5,25550.7,25722.5,25674.7,25558.5,25888.4,25883.5,25733,25860.6,25856.1,25850.6
198,2023-06-30,9789.05,MARUTI.NS,2023-07-06,9859.4,2023-08-11,9366.43,Stop Loss,27,9366.43,2,25000,-985.94,24014.06,2023-06-30,25000,24981.7,24753.8,25081.5,24952.8,24576.3,24488.5,24660.3,24612.5,24496.3,24826.2,24821.3,24670.8,24798.4,24793.9,24788.4,24621.8,24922.7,24714.7,24588.8,24368.6,24222,24328.8,24366.3,24207.4,24076.4,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06,24014.06
199,2023-03-14,768.35,MCDOWELL-N.NS,2023-03-20,765.85,2023-05-19,817.05,40th Day,40,727.5575,32,25000,1638.4,26638.4,2023-03-14,25000,25134.4,25334.4,25092.8,24932.8,24475.2,24150.4,24203.2,24694.4,24513.6,24670.4,24699.2,24521.6,24452.8,25009.6,24878.4,24987.2,25292.8,24752,24737.6,24811.2,24993.6,25169.6,25329.6,25062.4,25361.6,25427.2,25640,25568,25678.4,25897.6,25849.6,25902.4,25960,25950.4,26273.6,26171.2,25969.6,25996.8,26638.4
200,2023-04-28,3776.2,NAUKRI.NS,2023-05-05,3816.35,2023-06-30,4483.65,40th Day,40,3625.5325,6,25000,4003.8,29003.8,2023-04-28,25000,25457.8,25539.7,25622.8,25429.6,25398.7,25952.8,25701.7,25119.1,24560.8,25076.2,25434.7,25824.1,25370.5,25504,27288.4,27344.5,26493.4,26545,27413.8,27700,26923.3,26799.7,27208,26827.3,26960.5,27713.5,28111.3,27960.7,28030.9,28603.3,28751.8,28836.1,28946.5,28528,27943.3,28547.5,28452.7,28452.7,29003.8
201,2023-05-26,4197.75,NAUKRI.NS,2023-06-01,4218.65,2023-07-27,4570.75,40th Day,40,4007.7175,5,25000,1760.5,26760.5,2023-05-26,25000,25238.5,24591.25,24488.25,24828.5,24511.25,24622.25,25249.75,25581.25,25455.75,25514.25,25991.25,26115,26185.25,26277.25,25928.5,25441.25,25944.75,25865.75,25865.75,26325,26288.75,26066.25,26112,26246,25931.25,25566,25918.75,26210.25,27034.25,27510.75,27573.75,27356.5,27304.25,27170.5,27149.5,26747,26973.75,26608.25,26760.5
