,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount
274,2023-04-11,107.55,TATASTEEL.NS,2023-04-18,107.6,2023-06-13,111.15,40th Day,40.0,102.21999999999998,232.0,25000,823.6000000000026,25823.600000000002
275,2023-06-14,113.8,TATASTEEL.NS,2023-06-20,114.25,2023-08-16,115.95,40th Day,40.0,108.5375,218.0,25000,370.6000000000006,25370.600000000002
277,2023-01-11,3328.7,TCS.NS,2023-01-17,3378.4,2023-03-15,3198.9,40th Day,40.0,3209.48,7.0,25000,-1256.5,23743.5
278,2023-03-31,3205.9,TCS.NS,2023-04-10,3263.4,2023-04-19,3100.23,Stop Loss,7.0,3100.23,7.0,25000,-1142.1900000000005,23857.809999999998
281,2023-01-16,1034.45,TECHM.NS,2023-01-20,1046.5,2023-03-20,1109.0,40th Day,40.0,994.175,23.0,25000,1437.5,26437.5
282,2023-02-15,1071.4,TECHM.NS,2023-02-21,1134.45,2023-03-09,1077.7275,Stop Loss,12.0,1077.7275,22.0,25000,-1247.8950000000018,23752.105
283,2023-03-13,1133.8,TECHM.NS,2023-03-17,1127.15,2023-03-28,1070.7925,Stop Loss,8.0,1070.7925,22.0,25000,-1239.8650000000016,23760.135
284,2023-05-19,1072.15,TECHM.NS,2023-05-25,1098.1,2023-07-20,1252.95,40th Day,40.0,1043.195,22.0,25000,3406.700000000003,28406.700000000004
285,2023-07-14,1228.65,TECHM.NS,2023-07-20,1252.95,2023-07-24,1190.3025,Stop Loss,3.0,1190.3025,19.0,25000,-1190.3025000000007,23809.6975
287,2023-02-24,2551.05,TIINDIA.NS,2023-03-02,2811.6,2023-03-16,2671.02,Stop Loss,10.0,2671.02,8.0,25000,-1124.6399999999994,23875.36
288,2023-05-29,2865.15,TIINDIA.NS,2023-06-02,2884.2,2023-07-28,3098.45,40th Day,40.0,2739.99,8.0,25000,1714.0,26714.0
289,2023-06-15,2978.5,TIINDIA.NS,2023-06-21,3171.55,2023-08-08,3012.9725,Stop Loss,34.0,3012.9725,7.0,25000,-1110.0425000000023,23889.957499999997
290,2023-06-21,3171.55,TIINDIA.NS,2023-06-27,3134.2,2023-08-09,2977.49,Stop Loss,31.0,2977.49,7.0,25000,-1096.9700000000003,23903.03
291,2023-02-03,2463.1,TITAN.NS,2023-02-09,2462.55,2023-03-13,2339.4225,Stop Loss,22.0,2339.4225,10.0,25000,-1231.2750000000005,23768.725
292,2023-02-13,2519.05,TITAN.NS,2023-02-17,2500.3,2023-02-28,2375.285,Stop Loss,8.0,2375.285,9.0,25000,-1125.135000000003,23874.864999999998
293,2023-03-16,2450.35,TITAN.NS,2023-03-22,2508.15,2023-05-23,2683.45,40th Day,40.0,2382.7425,9.0,25000,1577.6999999999975,26577.699999999997
294,2023-04-05,2572.7,TITAN.NS,2023-04-12,2587.9,2023-06-08,2877.0,40th Day,40.0,2458.505,9.0,25000,2601.899999999999,27601.899999999998
295,2023-05-05,2732.9,TITAN.NS,2023-05-11,2757.85,2023-07-06,3106.4,40th Day,40.0,2619.9575,9.0,25000,3136.9500000000016,28136.95
296,2023-05-29,2812.25,TITAN.NS,2023-06-02,2861.65,2023-07-28,2987.0,40th Day,40.0,2718.5675,8.0,25000,1002.7999999999993,26002.8
297,2023-06-16,2954.3,TITAN.NS,2023-06-22,2970.25,2023-08-18,3050.45,40th Day,40.0,2821.7374999999997,8.0,25000,641.5999999999985,25641.6
298,2023-06-28,3028.1,TITAN.NS,2023-07-05,3099.85,2023-08-03,2944.8574999999996,Stop Loss,22.0,2944.8574999999996,8.0,25000,-1239.9400000000023,23760.059999999998
300,2023-04-28,1652.3,TORNTPHARM.NS,2023-05-05,1649.75,2023-06-30,1904.95,40th Day,40.0,1567.2624999999998,15.0,25000,3828.000000000001,28828.0
301,2023-05-25,1701.35,TORNTPHARM.NS,2023-05-31,1835.8,2023-07-26,1970.8,40th Day,40.0,1744.0099999999998,13.0,25000,1755.0,26755.0
302,2023-05-31,1835.8,TORNTPHARM.NS,2023-06-06,1788.1,2023-08-01,1983.5,40th Day,40.0,1698.695,13.0,25000,2540.200000000001,27540.2
303,2023-02-03,1235.65,TRENT.NS,2023-02-09,1341.9,2023-04-11,1354.15,40th Day,40.0,1274.805,18.0,25000,220.5,25220.5
304,2023-02-09,1341.9,TRENT.NS,2023-02-15,1347.45,2023-02-28,1280.0774999999999,Stop Loss,10.0,1280.0774999999999,18.0,25000,-1212.705000000003,23787.295
305,2023-03-31,1374.95,TRENT.NS,2023-04-10,1358.7,2023-06-06,1602.65,40th Day,40.0,1290.7649999999999,18.0,25000,4391.1,29391.1
306,2023-05-05,1416.8,TRENT.NS,2023-05-11,1471.4,2023-07-06,1754.3,40th Day,40.0,1397.83,16.0,25000,4526.399999999998,29526.399999999998
307,2023-05-11,1471.4,TRENT.NS,2023-05-17,1505.55,2023-07-12,1687.95,40th Day,40.0,1430.2724999999998,16.0,25000,2918.4000000000015,27918.4
308,2023-06-13,1685.65,TRENT.NS,2023-06-19,1708.45,2023-08-14,1929.6,40th Day,40.0,1623.0275,14.0,25000,3096.099999999998,28096.1
310,2023-01-25,1037.9,TVSMOTOR.NS,2023-02-01,1018.35,2023-03-29,1079.2,40th Day,40.0,967.4325,24.0,25000,1460.4000000000005,26460.4
311,2023-04-11,1128.85,TVSMOTOR.NS,2023-04-18,1144.95,2023-06-13,1346.1,40th Day,40.0,1087.7025,21.0,25000,4224.149999999997,29224.149999999998
312,2023-05-04,1169.05,TVSMOTOR.NS,2023-05-10,1241.05,2023-07-05,1319.8,40th Day,40.0,1178.9975,20.0,25000,1575.0,26575.0
313,2023-01-12,7153.35,ULTRACEMCO.NS,2023-01-18,7283.45,2023-01-23,6919.277499999999,Stop Loss,4.0,6919.277499999999,3.0,25000,-1092.5175000000017,23907.4825
314,2023-05-29,7840.55,ULTRACEMCO.NS,2023-06-02,7850.65,2023-07-28,8306.75,40th Day,40.0,7458.117499999999,3.0,25000,1368.300000000001,26368.300000000003
315,2023-06-06,8109.55,ULTRACEMCO.NS,2023-06-12,8198.6,2023-08-07,8175.45,40th Day,40.0,7788.67,3.0,25000,-69.45000000000164,24930.55
316,2023-02-14,761.6,UPL.NS,2023-02-20,757.95,2023-02-27,720.0525,Stop Loss,6.0,720.0525,32.0,25000,-1212.7200000000012,23787.28
317,2023-02-07,652.05,VBL.NS,2023-02-13,642.03,2023-04-13,714.78,40th Day,40.0,609.9285,38.0,25000,2764.5,27764.5
318,2023-05-26,850.97,VBL.NS,2023-06-01,844.5,2023-06-08,802.275,Stop Loss,6.0,802.275,29.0,25000,-1224.5250000000005,23775.475
