Date,Symbol,High,Low,Open,Close,PP,R1,S1,R2,S2,Breakout_R1
2023-03-22,HCLTECH.NS,1105.75,1079.05,1091.95,1081.45,1102.6833333333334,1139.3666666666668,1071.7666666666669,1170.2833333333333,1035.0833333333335,False
2023-03-23,HCLTECH.NS,1080.4,1061.0,1077.0,1065.9,1102.6833333333334,1139.3666666666668,1071.7666666666669,1170.2833333333333,1035.0833333333335,False
2023-03-24,HCLTECH.NS,1090.0,1047.05,1073.0,1051.75,1102.6833333333334,1139.3666666666668,1071.7666666666669,1170.2833333333333,1035.0833333333335,False
2023-03-27,HCLTECH.NS,1065.5,1044.8,1053.3,1051.5,1069.0333333333333,1091.0166666666667,1029.7666666666667,1130.2833333333333,1007.7833333333332,False
2023-03-28,HCLTECH.NS,1063.8,1039.35,1056.8,1041.1,1069.0333333333333,1091.0166666666667,1029.7666666666667,1130.2833333333333,1007.7833333333332,False
2023-03-29,HCLTECH.NS,1070.0,1042.1,1046.0,1067.5,1069.0333333333333,1091.0166666666667,1029.7666666666667,1130.2833333333333,1007.7833333333332,False
2023-03-31,HCLTECH.NS,1096.9,1069.4,1083.4,1085.25,1069.0333333333333,1091.0166666666667,1029.7666666666667,1130.2833333333333,1007.7833333333332,False
2023-04-03,HCLTECH.NS,1099.25,1088.0,1089.95,1098.15,1073.8333333333333,1108.3166666666666,1050.7666666666664,1131.3833333333334,1016.2833333333331,False
2023-04-05,HCLTECH.NS,1113.0,1066.15,1085.35,1111.2,1073.8333333333333,1108.3166666666666,1050.7666666666664,1131.3833333333334,1016.2833333333331,False
2023-04-06,HCLTECH.NS,1109.05,1085.45,1109.05,1091.85,1073.8333333333333,1108.3166666666666,1050.7666666666664,1131.3833333333334,1016.2833333333331,False
2023-04-10,HCLTECH.NS,1105.0,1091.5,1091.85,1103.1,1090.3333333333333,1114.5166666666664,1067.6666666666665,1137.1833333333332,1043.4833333333333,False
2023-04-11,HCLTECH.NS,1109.9,1085.0,1104.0,1087.0,1090.3333333333333,1114.5166666666664,1067.6666666666665,1137.1833333333332,1043.4833333333333,False
2023-04-12,HCLTECH.NS,1097.45,1080.1,1092.0,1094.5,1090.3333333333333,1114.5166666666664,1067.6666666666665,1137.1833333333332,1043.4833333333333,False
2023-04-13,HCLTECH.NS,1089.0,1063.0,1089.0,1071.85,1090.3333333333333,1114.5166666666664,1067.6666666666665,1137.1833333333332,1043.4833333333333,False
2023-04-17,HCLTECH.NS,1055.0,1016.25,1055.0,1042.2,1081.5833333333333,1100.1666666666665,1053.2666666666664,1128.4833333333333,1034.6833333333332,False
2023-04-18,HCLTECH.NS,1066.4,1045.2,1049.55,1063.85,1081.5833333333333,1100.1666666666665,1053.2666666666664,1128.4833333333333,1034.6833333333332,False
2023-04-19,HCLTECH.NS,1073.95,1036.45,1073.95,1038.7,1081.5833333333333,1100.1666666666665,1053.2666666666664,1128.4833333333333,1034.6833333333332,False
2023-04-20,HCLTECH.NS,1047.2,1031.85,1040.0,1037.5,1081.5833333333333,1100.1666666666665,1053.2666666666664,1128.4833333333333,1034.6833333333332,False
2023-04-21,HCLTECH.NS,1074.0,1037.75,1054.0,1048.95,1081.5833333333333,1100.1666666666665,1053.2666666666664,1128.4833333333333,1034.6833333333332,False
2023-04-24,HCLTECH.NS,1058.9,1046.0,1057.0,1054.05,1046.3999999999999,1076.5499999999997,1018.7999999999996,1104.1499999999999,988.6499999999999,False
2023-04-25,HCLTECH.NS,1058.8,1044.4,1050.45,1053.45,1046.3999999999999,1076.5499999999997,1018.7999999999996,1104.1499999999999,988.6499999999999,False
2023-04-26,HCLTECH.NS,1067.0,1048.0,1055.0,1065.55,1046.3999999999999,1076.5499999999997,1018.7999999999996,1104.1499999999999,988.6499999999999,False
2023-04-27,HCLTECH.NS,1075.0,1061.0,1065.55,1071.25,1046.3999999999999,1076.5499999999997,1018.7999999999996,1104.1499999999999,988.6499999999999,False
2023-04-28,HCLTECH.NS,1068.75,1053.75,1059.95,1064.1,1046.3999999999999,1076.5499999999997,1018.7999999999996,1104.1499999999999,988.6499999999999,False
2023-05-02,HCLTECH.NS,1074.8,1064.0,1064.1,1067.55,1061.1666666666667,1077.9333333333334,1047.3333333333335,1091.7666666666667,1030.5666666666668,False
2023-05-03,HCLTECH.NS,1064.0,1055.0,1062.0,1058.95,1061.1666666666667,1077.9333333333334,1047.3333333333335,1091.7666666666667,1030.5666666666668,False
2023-05-04,HCLTECH.NS,1067.95,1048.3,1056.05,1066.8,1061.1666666666667,1077.9333333333334,1047.3333333333335,1091.7666666666667,1030.5666666666668,False
2023-05-05,HCLTECH.NS,1069.95,1052.1,1066.8,1055.55,1061.1666666666667,1077.9333333333334,1047.3333333333335,1091.7666666666667,1030.5666666666668,False
2023-05-08,HCLTECH.NS,1077.5,1055.0,1058.0,1075.75,1059.55,1070.8,1044.3,1086.05,1033.05,False
2023-05-09,HCLTECH.NS,1082.6,1066.05,1071.0,1079.0,1059.55,1070.8,1044.3,1086.05,1033.05,False
2023-05-10,HCLTECH.NS,1088.8,1072.1,1084.15,1078.3,1059.55,1070.8,1044.3,1086.05,1033.05,False
2023-05-11,HCLTECH.NS,1092.6,1080.05,1082.15,1088.1,1059.55,1070.8,1044.3,1086.05,1033.05,False
2023-05-12,HCLTECH.NS,1103.4,1077.45,1086.0,1095.5,1059.55,1070.8,1044.3,1086.05,1033.05,False
2023-05-15,HCLTECH.NS,1105.95,1092.8,1098.95,1099.75,1084.6333333333334,1114.2666666666669,1065.8666666666668,1133.0333333333335,1036.2333333333333,False
2023-05-16,HCLTECH.NS,1105.3,1088.1,1100.2,1090.7,1084.6333333333334,1114.2666666666669,1065.8666666666668,1133.0333333333335,1036.2333333333333,False
2023-05-17,HCLTECH.NS,1093.95,1062.7,1090.5,1074.55,1084.6333333333334,1114.2666666666669,1065.8666666666668,1133.0333333333335,1036.2333333333333,False
2023-05-18,HCLTECH.NS,1085.0,1073.0,1081.95,1079.9,1084.6333333333334,1114.2666666666669,1065.8666666666668,1133.0333333333335,1036.2333333333333,False
2023-05-19,HCLTECH.NS,1104.0,1082.45,1088.6,1095.35,1084.6333333333334,1114.2666666666669,1065.8666666666668,1133.0333333333335,1036.2333333333333,False
2023-05-22,HCLTECH.NS,1121.9,1088.95,1095.35,1119.85,1088.0,1113.3,1070.05,1131.25,1044.75,False
2023-05-23,HCLTECH.NS,1131.35,1104.0,1120.0,1107.35,1088.0,1113.3,1070.05,1131.25,1044.75,False
2023-05-24,HCLTECH.NS,1115.0,1098.0,1099.05,1111.95,1088.0,1113.3,1070.05,1131.25,1044.75,False
2023-05-25,HCLTECH.NS,1118.25,1103.05,1109.2,1116.0,1088.0,1113.3,1070.05,1131.25,1044.75,False
2023-05-26,HCLTECH.NS,1140.35,1114.0,1115.0,1139.2,1088.0,1113.3,1070.05,1131.25,1044.75,False
2023-05-29,HCLTECH.NS,1147.95,1124.4,1146.0,1126.2,1122.8333333333333,1156.7166666666665,1105.3166666666666,1174.2333333333331,1071.4333333333334,False
2023-05-30,HCLTECH.NS,1144.0,1128.05,1129.0,1135.85,1122.8333333333333,1156.7166666666665,1105.3166666666666,1174.2333333333331,1071.4333333333334,False
2023-05-31,HCLTECH.NS,1153.35,1132.1,1134.8,1145.1,1122.8333333333333,1156.7166666666665,1105.3166666666666,1174.2333333333331,1071.4333333333334,False
2023-06-01,HCLTECH.NS,1155.15,1137.65,1148.0,1141.9,1122.8333333333333,1156.7166666666665,1105.3166666666666,1174.2333333333331,1071.4333333333334,False
2023-06-02,HCLTECH.NS,1151.1,1131.6,1148.0,1137.05,1122.8333333333333,1156.7166666666665,1105.3166666666666,1174.2333333333331,1071.4333333333334,False
2023-06-05,HCLTECH.NS,1148.5,1136.0,1144.0,1138.3,1138.8666666666668,1153.3333333333335,1122.5833333333335,1169.6166666666668,1108.1166666666668,False
2023-06-06,HCLTECH.NS,1132.3,1113.75,1130.0,1128.6,1138.8666666666668,1153.3333333333335,1122.5833333333335,1169.6166666666668,1108.1166666666668,False
2023-06-07,HCLTECH.NS,1133.8,1116.2,1133.8,1129.05,1138.8666666666668,1153.3333333333335,1122.5833333333335,1169.6166666666668,1108.1166666666668,False
2023-06-08,HCLTECH.NS,1131.25,1118.3,1129.05,1126.75,1138.8666666666668,1153.3333333333335,1122.5833333333335,1169.6166666666668,1108.1166666666668,False
